audio_filepath,duration,num_words,num_characters
data/audio_processed\singularvaluedecomposition.wav,721.347,4089,20957
data/audio_processed\somegorydetails.wav,653.592,1193,5740
data/audio_processed\sparseautoencoders.wav,736.301,1771,9105
data/audio_processed\stochasticandminibatchgradientdescent.wav,821.983,2351,12551
data/audio_processed\theconvolutionoperation.wav,1098.509,3635,18622
data/audio_processed\thecuriouscaseofsequences.wav,201.778,1131,6363
data/audio_processed\thedeeprevival.wav,813.24,1401,8011
data/audio_processed\themadness2013.wav,112.984,766,4441
data/audio_processed\theproblemofexplodingandvanishinggradients.wav,853.028,2047,10031
data/audio_processed\tipsforadjustinglearningrateandmomentum.wav,821.983,2222,11456
data/audio_processed\trainerrorvstesterror.wav,642.469,2074,10394
data/audio_processed\trainerrorvstesterrorrecap.wav,673.932,3384,16944
data/audio_processed\trueerrorandmodelcomplexity.wav,1070.343,1543,8343
data/audio_processed\unsupervisedpretraining.wav,370.471,4764,25544
data/audio_processed\visualizingfiltersofacnn.wav,385.355,1200,6385
data/audio_processed\visualizingpatcheswhichmaximallyactivateaneuron.wav,1359.942,1234,6457
